Rank,Game Title,Total Hours Played
1,Dota 2,981684.5999999989
2,Counter-Strike Global Offensive,322771.60000000015
3,Team Fortress 2,173673.29999999993
4,Counter-Strike,134261.1
5,Sid Meier's Civilization V,99821.29999999999
6,Counter-Strike Source,96075.49999999999
7,The Elder Scrolls V Skyrim,70889.30000000002
8,Garry's Mod,49725.300000000025
9,Call of Duty Modern Warfare 2 - Multiplayer,42009.90000000001
10,Left 4 Dead 2,33596.69999999999
11,Football Manager 2013,32308.6
12,Football Manager 2012,30845.799999999996
13,Football Manager 2014,30574.799999999996
14,Terraria,29951.799999999985
15,Warframe,27074.599999999995
16,Football Manager 2015,24283.100000000002
17,Arma 3,24055.7
18,Grand Theft Auto V,22956.70000000001
19,Borderlands 2,22667.899999999994
20,Empire Total War,21030.3
21,Total War ROME II - Emperor Edition,20892.499999999996
22,Mount & Blade Warband,20636.8
23,Call of Duty Modern Warfare 3 - Multiplayer,20602.99999999999
24,DayZ,20315.399999999998
25,PAYDAY 2,19613.799999999996
26,Call of Duty Black Ops - Multiplayer,17144.499999999996
27,Unturned,16096.400000000016
28,Total War SHOGUN 2,15761.499999999998
29,Rust,15275.299999999997
30,Fallout New Vegas,14832.900000000003
31,War Thunder,14381.600000000004
32,Call of Duty Black Ops II - Multiplayer,13816.300000000001
33,ARK Survival Evolved,13593.100000000004
34,Football Manager 2010,13126.7
35,Clicker Heroes,12937.399999999998
36,Football Manager 2011,11336.800000000001
37,Fallout 4,10762.800000000003
38,Path of Exile,10185.600000000002
39,Napoleon Total War,9966.000000000004
40,Europa Universalis IV,9759.0
41,Arma 2 Operation Arrowhead,9429.700000000003
42,APB Reloaded,9237.199999999999
43,Portal 2,9117.099999999997
44,Robocraft,9096.599999999999
45,Crusader Kings II,9020.7
46,Left 4 Dead,8659.900000000001
47,Call of Duty Modern Warfare 2,8635.400000000003
48,Killing Floor,8171.1
49,Counter-Strike Condition Zero,7950.000000000002
50,Rocket League,7827.200000000002
51,XCOM Enemy Unknown,7696.0999999999985
52,Football Manager 2009,7434.4
53,H1Z1,7364.200000000001
54,Euro Truck Simulator 2,7226.899999999999
55,Torchlight II,6891.9
56,Age of Empires II HD Edition,6858.499999999999
57,The Binding of Isaac Rebirth,6735.5
58,Battlefield Bad Company 2,6678.5999999999985
59,FINAL FANTASY XIV A Realm Reborn,6618.5
60,PlanetSide 2,6239.700000000002
61,DARK SOULS II,6193.799999999999
62,AdVenture Capitalist,6067.7
63,The Binding of Isaac,5458.099999999999
64,Call of Duty Modern Warfare 3,5443.599999999998
65,Rising Storm/Red Orchestra 2 Multiplayer,5412.499999999999
66,Kerbal Space Program,5334.499999999999
67,Starbound,5189.8
68,Far Cry 3,5076.000000000002
69,"Warhammer 40,000 Dawn of War II  Retribution",4983.700000000001
70,Saints Row The Third,4954.100000000001
71,Tom Clancy's Ghost Recon Phantoms - NA,4910.799999999998
72,The Witcher 3 Wild Hunt,4876.900000000001
73,Day of Defeat Source,4840.300000000001
74,Trove,4818.4
75,METAL GEAR SOLID V THE PHANTOM PAIN,4751.099999999999
76,Borderlands,4742.799999999999
77,Dark Souls Prepare to Die Edition,4738.5
