Rank,Game Title,Total Hours Played,ReleaseDate
1,Dota 2,981684.5999999989,2013-07-09
3,Team Fortress 2,173673.29999999993,2007-10-10
4,Counter-Strike,134261.1,2000-11-01
5,Sid Meier's Civilization V,99821.29999999999,2010-09-21
8,Garry's Mod,49725.300000000025,2006-11-29
10,Left 4 Dead 2,33596.69999999999,2009-11-16
14,Terraria,29951.799999999985,2011-05-16
15,Warframe,27074.599999999995,2013-03-25
17,Arma 3,24055.7,2013-09-12
18,Grand Theft Auto V,22956.70000000001,2015-04-13
19,Borderlands 2,22667.899999999994,2012-09-17
24,DayZ,20315.399999999998,2013-12-16
25,PAYDAY 2,19613.799999999996,2013-08-13
27,Unturned,16096.400000000016,2014-07-07
29,Rust,15275.299999999997,2013-12-11
31,War Thunder,14381.600000000004,2013-08-15
35,Clicker Heroes,12937.399999999998,2015-05-13
37,Fallout 4,10762.800000000003,2015-11-09
38,Path of Exile,10185.600000000002,2013-10-23
40,Europa Universalis IV,9759.0,2013-08-13
42,APB Reloaded,9237.199999999999,2011-12-06
43,Portal 2,9117.099999999997,2011-04-18
44,Robocraft,9096.599999999999,2014-07-08
45,Crusader Kings II,9020.7,2012-02-14
46,Left 4 Dead,8659.900000000001,2008-11-17
48,Killing Floor,8171.1,2009-05-14
50,Rocket League,7827.200000000002,2015-07-07
54,Euro Truck Simulator 2,7226.899999999999,2013-01-16
55,Torchlight II,6891.9,2012-09-20
60,PlanetSide 2,6239.700000000002,2012-11-20
62,AdVenture Capitalist,6067.7,2015-03-30
63,The Binding of Isaac,5458.099999999999,2011-09-28
65,Rising Storm/Red Orchestra 2 Multiplayer,5412.499999999999,2011-09-13
66,Kerbal Space Program,5334.499999999999,2015-04-27
67,Starbound,5189.8,2016-07-22
71,Tom Clancy's Ghost Recon Phantoms - NA,4910.799999999998,2014-04-10
74,Trove,4818.4,2015-07-09
76,Borderlands,4742.799999999999,2009-10-26
78,Stronghold Kingdoms,4703.099999999999,2012-02-27
79,Grand Theft Auto IV,4686.3,2008-12-02
80,DC Universe Online,4674.7,2011-11-02
81,Space Engineers,4467.099999999999,2013-10-23
83,Half-Life 2,4260.3,2004-11-16
86,7 Days to Die,4075.500000000001,2013-12-13
89,Dungeon Defenders,3816.2000000000007,2011-10-18
92,BioShock Infinite,3689.1000000000013,2013-03-25
95,Star Trek Online,3501.1000000000004,2012-01-31
96,Just Cause 2,3457.5000000000005,2010-03-23
97,Neverwinter,3451.4999999999995,2013-12-05
99,Heroes & Generals,3299.5,2014-07-11
104,Assassin's Creed IV Black Flag,3230.3000000000006,2013-11-19
107,Tomb Raider,3184.3,2013-03-04
108,RIFT,3113.6,2011-03-01
111,Train Simulator,2975.4999999999995,2015-09-17
112,Mafia II,2893.400000000001,2011-03-22
114,Dishonored,2842.2,2012-10-08
116,NBA 2K15,2714.7,2014-10-06
118,Banished,2630.999999999999,2014-02-18
119,Prison Architect,2626.4999999999995,2015-10-06
120,Mass Effect,2609.7999999999984,2008-12-19
121,Mortal Kombat X,2598.099999999999,2015-04-13
123,Saints Row IV,2563.0,2013-08-19
128,Natural Selection 2,2498.899999999999,2012-10-30
129,Mass Effect 2,2492.0,2010-01-26
130,Elite Dangerous,2455.7000000000003,2015-04-02
134,TERA,2388.0999999999995,2015-05-05
136,Supreme Commander 2,2361.5000000000005,2010-03-01
137,Spiral Knights,2360.7000000000007,2011-06-14
139,Insurgency,2317.1000000000004,2014-01-22
141,Football Manager 2016,2296.6,2015-11-12
142,Portal,2282.7999999999997,2007-10-10
143,Transformice,2271.8,2015-01-30
144,The Sims(TM) 3,2249.7000000000003,2011-01-27
145,Dying Light,2212.5999999999995,2015-01-26
147,Farming Simulator 2013,2139.2,2013-10-09
148,Warface,2108.099999999998,2014-07-01
151,Magicka,2053.8,2011-01-25
152,Farming Simulator 15,2050.3,2014-10-30
155,Fallout 3 - Game of the Year Edition,2005.6000000000001,2009-12-17
157,Company of Heroes 2,1955.0000000000005,2013-06-25
161,Max Payne 3,1941.3999999999996,2012-05-31
162,Marvel Puzzle Quest,1901.6,2013-12-05
164,Sniper Elite V2,1845.8000000000004,2012-04-30
166,Rocksmith 2014,1731.3999999999999,2013-10-22
167,Sakura Clicker,1730.8999999999999,2015-07-29
168,Tropico 4,1726.6000000000001,2011-09-01
169,The Walking Dead,1715.7000000000003,2012-04-24
170,Spore,1706.6000000000004,2008-12-19
171,The Forest,1695.1999999999998,2014-05-30
173,Torchlight,1688.9000000000003,2009-10-27
176,Assassin's Creed II,1646.1,2010-03-09
177,Anno 2070,1618.1,2011-11-17
178,Perpetuum,1603.9,2014-10-17
179,Killing Floor 2,1594.8999999999999,2015-04-21
181,Metro 2033,1565.7,2010-03-15
182,Saints Row 2,1545.0999999999997,2009-01-07
183,Pillars of Eternity,1523.2,2015-03-26
185,FINAL FANTASY VII,1511.9000000000003,2013-07-04
186,Alien Swarm,1505.0000000000005,2010-07-19
187,Awesomenauts,1504.7,2012-08-01
188,Endless Space,1498.6,2012-07-04
190,NBA 2K14,1491.4999999999998,2013-10-01
192,Ultra Street Fighter IV,1460.3,2014-08-07
193,Defiance,1433.6,2014-06-04
198,HAWKEN,1416.2999999999997,2014-02-14
200,Loadout,1399.8,2014-01-31
