date,location,total_cases,new_cases,total_deaths,new_deaths
2020-01-01,Philippines,0,0,0,0
2020-01-02,Philippines,0,0,0,0
2020-01-03,Philippines,0,0,0,0
2020-01-04,Philippines,0,0,0,0
2020-01-05,Philippines,0,0,0,0
2020-01-06,Philippines,0,0,0,0
2020-01-07,Philippines,0,0,0,0
2020-01-08,Philippines,0,0,0,0
2020-01-09,Philippines,0,0,0,0
2020-01-10,Philippines,0,0,0,0
2020-01-11,Philippines,0,0,0,0
2020-01-12,Philippines,0,0,0,0
2020-01-13,Philippines,0,0,0,0
2020-01-14,Philippines,0,0,0,0
2020-01-15,Philippines,0,0,0,0
2020-01-16,Philippines,0,0,0,0
2020-01-17,Philippines,0,0,0,0
2020-01-18,Philippines,0,0,0,0
2020-01-19,Philippines,0,0,0,0
2020-01-20,Philippines,0,0,0,0
2020-01-21,Philippines,0,0,0,0
2020-01-22,Philippines,0,0,0,0
2020-01-23,Philippines,0,0,0,0
2020-01-24,Philippines,0,0,0,0
2020-01-25,Philippines,0,0,0,0
2020-01-26,Philippines,0,0,0,0
2020-01-27,Philippines,0,0,0,0
2020-01-28,Philippines,0,0,0,0
2020-01-29,Philippines,0,0,0,0
2020-01-30,Philippines,1,1,0,0
2020-01-31,Philippines,1,0,0,0
2020-02-01,Philippines,1,0,0,0
2020-02-02,Philippines,2,1,1,1
2020-02-03,Philippines,2,0,1,0
2020-02-04,Philippines,2,0,1,0
2020-02-05,Philippines,2,0,1,0
2020-02-06,Philippines,3,1,1,0
2020-02-07,Philippines,3,0,1,0
2020-02-08,Philippines,3,0,1,0
2020-02-09,Philippines,3,0,1,0
2020-02-10,Philippines,3,0,1,0
2020-02-11,Philippines,3,0,1,0
2020-02-12,Philippines,3,0,1,0
2020-02-13,Philippines,3,0,1,0
2020-02-14,Philippines,3,0,1,0
2020-02-15,Philippines,3,0,1,0
2020-02-16,Philippines,3,0,1,0
2020-02-17,Philippines,3,0,1,0
2020-02-18,Philippines,3,0,1,0
2020-02-19,Philippines,3,0,1,0
2020-02-20,Philippines,3,0,1,0
2020-02-21,Philippines,3,0,1,0
2020-02-22,Philippines,3,0,1,0
2020-02-23,Philippines,3,0,1,0
2020-02-24,Philippines,3,0,1,0
2020-02-25,Philippines,3,0,1,0
2020-02-26,Philippines,3,0,1,0
2020-02-27,Philippines,3,0,1,0
2020-02-28,Philippines,3,0,1,0
2020-02-29,Philippines,3,0,1,0
2020-03-01,Philippines,3,0,1,0
2020-03-02,Philippines,3,0,1,0
2020-03-03,Philippines,3,0,1,0
2020-03-04,Philippines,3,0,1,0
2020-03-05,Philippines,3,0,1,0
2020-03-06,Philippines,3,0,1,0
2020-03-07,Philippines,5,2,1,0
2020-03-08,Philippines,6,1,1,0
2020-03-09,Philippines,10,4,1,0
2020-03-10,Philippines,33,23,1,0
2020-03-11,Philippines,33,0,1,0
2020-03-12,Philippines,49,16,2,1
2020-03-13,Philippines,52,3,2,0
2020-03-14,Philippines,64,12,6,4
2020-03-15,Philippines,111,47,6,0
2020-03-16,Philippines,140,29,12,6
2020-03-17,Philippines,142,2,12,0
2020-03-18,Philippines,187,45,14,2
2020-03-19,Philippines,202,15,17,3
2020-03-20,Philippines,230,28,18,1
2020-03-21,Philippines,230,0,18,0
2020-03-22,Philippines,380,150,25,7
2020-03-23,Philippines,380,0,25,0
2020-03-24,Philippines,462,82,33,8
2020-03-25,Philippines,552,90,35,2
2020-03-26,Philippines,636,84,38,3
2020-03-27,Philippines,707,71,45,7
2020-03-28,Philippines,803,96,54,9
2020-03-29,Philippines,1075,272,68,14
2020-03-30,Philippines,1418,343,71,3
2020-03-31,Philippines,2084,666,88,17
2020-04-01,Philippines,2084,0,88,0
2020-04-02,Philippines,2311,227,96,8
2020-04-03,Philippines,2633,322,107,11
2020-04-04,Philippines,3018,385,136,29
2020-04-05,Philippines,3094,76,144,8
2020-04-06,Philippines,3246,152,152,8
2020-04-07,Philippines,3660,414,163,11
2020-04-08,Philippines,3764,104,177,14
2020-04-09,Philippines,3870,106,182,5
2020-04-10,Philippines,4076,206,203,21
2020-04-11,Philippines,4076,0,203,0
2020-04-12,Philippines,4428,352,247,44
2020-04-13,Philippines,4648,220,297,50
2020-04-14,Philippines,4932,284,315,18
2020-04-15,Philippines,5223,291,335,20
2020-04-16,Philippines,5453,230,349,14
2020-04-17,Philippines,5660,207,362,13
2020-04-18,Philippines,5878,218,387,25
2020-04-19,Philippines,6087,209,397,10
2020-04-20,Philippines,6259,172,409,12
2020-04-21,Philippines,6459,200,428,19
2020-04-22,Philippines,6599,140,437,9
2020-04-23,Philippines,6710,111,446,9
2020-04-24,Philippines,6981,271,462,16
2020-04-25,Philippines,7192,211,477,15
2020-04-26,Philippines,7294,102,494,17
2020-04-27,Philippines,7579,285,501,7
2020-04-28,Philippines,7777,198,511,10
2020-04-29,Philippines,7958,181,530,19
2020-04-30,Philippines,8212,254,558,28
2020-05-01,Philippines,8488,276,568,10
2020-05-02,Philippines,8772,284,579,11
